Id,Provider,User,Title
0bL6UkqgNdU,youtube,BTLV Le média complémentaire,Ce qui vous attend cette semaine sur Btlv (14/01 - 21/01)
0IHFiTP2H0E,youtube,NURÉA TV - Au coeur de l'inexpliqué,« Ovnis : les différentes hypothèses » avec Serge Leguyader - NURÉA TV
0mI-hTesu58,youtube,Scicos,Les MEN IN BLACK ? La CIA confirme ! 😱 - SCICOS
0O9qdyNMZe4,youtube,NURÉA TV - Au coeur de l'inexpliqué,« Crop Circles : Les preuves sont là ! » avec Philippe Weber - NURÉA TV
0OX0qv0HASs,youtube,Shamballah treize,Â« Roswell Â» (1994) - (partie 5/9)
0s2z9dfbbcM,youtube,shamballah13,« Comme un lundi ! » (1996) - (8/9)
0sD6qm2VGks,youtube,BTLV Radio & TV,"Renaud Thomazo : L'histoire et ses secrets (Jeanne d'Arc, L'homme au Masque de Fer...) sur BTLV"
0w3PpG5xs0w,youtube,odezenne,Freestyle 50h GOOM - Oxmo - Guizmo -Nekfeu - 2zer - Deen - Doum's - Jazzy Bazz - Alpha - Odezenne
0ZEsAGJARDI,youtube,LeHuffPost,"James Webb, les 344 scénarios d'échecs d'une mission spatiale à 10 milliards de dollars"
1_-bokCve_c,youtube,Très Curieux - YouCurious? French,ACCIDENT D'OVNI | Un OVNI s'écrase sur Mars | YouCurious French
1BBJ5UF2riE,youtube,BTLV Radio & TV,Mystère de la construction des pyramides : L'enquête continue - E.Gonthier et A.Moisson. BTLV
1f1E0Rura9Y,youtube,Bob Vous Dit Toute La Vérité,Joslan F. Keller : méthode occulte pour voyager d'une dimension à une a une autre
1h-3G5CP90Q,youtube,LeHuffPost,Ce signalement d'ovnis en Irlande donne lieu à une enquête
1JcYRVFGlhU,youtube,Bob Vous Dit Toute La Vérité,Science et méditation - Jean Gayral (Ingénieur et mathématicien - Ex CERN) - BTLV-Radio
1kADyq2vEdY,youtube,GillusZG,MA COLLECTION de DVD et BLU-RAY 2/2
1NRuRzwmxoQ,youtube,secureteam10,SOMETHING Caught Lurking Behind Space Station 8/20/17
1OQHjoeahJU,youtube,Très Curieux - YouCurious? French,Un nouveau trou noir découvert? Les théories modernes se sont avérées fausses?
1PRpzGDbpos,youtube,"BTLV, Numéro 1 sur le Mystère et l'Inexpliqué","RENCONTRE ÉTRANGE, OVNI, FANTÔME & MH 370"
1QP4czOK55E,youtube,LeHuffPost,"Avec ce canular sur les ovnis, Rémi Gaillard a piégé le 13H de TF1"
1rIGM4FZubI,youtube,Shamballah treize,Jimmy Guieu : rassemblement à Dolancourt (1989) / Forêt d'Orient
1rK1wQs5UlU,youtube,Très Curieux - YouCurious? French,Les plantes peuvent-elles survivre sur Mars? | Très Curieux
1Rtg3Dg4d1U,youtube,Les Zinzins de l'espace,Les Zinzins de l’espace 👽 RETOUR DANS L'ESPACE - Episodes Inédits en HD
1VtAKKs2dtI,youtube,BTLV - Bob Vous Dit Toute La Vérité,Morvan Salez (Astrophysicien) : On l'a empêché de faire des colloques sur la parapsychologie
1yAGfgjptgI,youtube,BTLV Le média complémentaire,"Espace, des E.T habiteraient sur la Zone 51 avec J.G Greslé sur btlv"
2HR-yI4aPQI,youtube,Les Zinzins de l'espace,Les Zinzins de l’espace - COMPILATION ETNO #2
2I4VXGwSpEc,youtube,Les Zinzins de l'espace,Les Zinzins de l’espace 🔥 Episode 13 à 16 🔥 HD
2r5UXZWhgLk,youtube,BTLV Le média complémentaire,"La libre antenne BTLV : Ovnis, phénomènes inexpliqués, paranormal"
2SlaQ4kiNhc,youtube,La vérité est ailleurs,★ Découverte d'une statue datant de 200.000 ans sur la Lune par la mission Apollo 11
3ahG15WQWoQ,youtube,GillusZG,LE MESSAGER DU DIABLE - les OVNI du cinéma 24 (Cth11)
3B6ITwGcLNA,youtube,Mr. Sam - Point d'interrogation,❓ VLOG: Éduquer à l'Esprit Critique • Le Petit Point d'? - 9 octobre 2020
3eSSbBacAQ8,youtube,Scicos,Mon avis sur les rencontres EXTRATERRESTRE / ALIEN — SCICOS
3falcb9OpDg,youtube,La vérité est ailleurs,★ Missions lunaires : Une Chose étrange s'est passée avec Apollo 17...
3sOOb6k81hY,youtube,Bob Vous Dit Toute La Vérité,L'éveil - Sylvain Du Boulay sur BTLV-Radio (On est là pour vous)
3VJXZSxp9PM,youtube,NURÉA TV - Au coeur de l'inexpliqué,« Les Vimanas : Vaisseaux des Dieux » avec Fabrice Bianchin - NURÉA TV
3XiRpBgCJlk,youtube,Shamballah treize,"« The UFO Incident » (Version française, partie 10/10 - FIN)"
4HJFfDH9jYA,youtube,Bob Vous Dit Toute La Vérité,"Thomas Edison, le nécrophone, machine pour communiquer avec les défunts - BTLV-TV"
4jl3Lm7_7bM,youtube,Bob Vous Dit Toute La Vérité,Vos enfants sont hyper mentalistes mais vous ne le savez pas - Pascal de Clermont sur BTLV
4OWcZoRZ5O8,youtube,La vérité est ailleurs,★ Découverte de Tombeaux Extraterrestres dissimulés sous le Grand Sphinx...
4plc8ADuqFE,youtube,Bob Vous Dit Toute La Vérité,Médium : les dangers de la profession - Jean-Didier sur BTLV-Radio (On est là pour vous)
4ptFYo0ZEo8,youtube,shamballah13,« La grande famille » : les OVNI (1990) -- (1/3)
4Q1bMe1LUrA,youtube,Mr. Sam - Point d'interrogation,"❓CANNABIS, FAKEMED, ÉCHEC ÉCOLO - Le Petit Point 52.2018"
4tQ6Otwnr24,youtube,BTLV - Bob Vous Dit Toute La Vérité,L'Instant Cru - Marie-Sophie L sur BTLV-Radio (Et si on allait mieux)
4UBjjqOWdIY,youtube,NURÉA TV - Au coeur de l'inexpliqué,« Résonance Numérique : Analyse en direct de votre numérologie » avec Cyril - NURÉA TV
4Zi8MYNcyss,youtube,Shamballah treize,« Midi 3 » : Spécial OVNI (1990) - (4/4)
5_gnaTtOgi0,youtube,"BTLV, Numéro 1 sur le Mystère et l'Inexpliqué","OVNI, PHÉNOMÈNES PARANORMAUX & POSSESSION"
5BjhqksWGvM,youtube,GillusZG,CTHULHU - les OVNI du cinéma 14 (Cth6)
5DVeh48o7WU,youtube,GillusZG,TRILOGIE RE-ANIMATOR - les OVNI du cinéma 06 (Cth2)
5GC_IkIdlPU,youtube,BTLV - Bob Vous Dit Toute La Vérité,Arash Derambarsh : Le gaspillage alimentaire dans LE LIVE BTLV
5hc0YrOSrGI,youtube,Shamballah treize,"« The UFO Incident » (Version française, partie 8/10)"
5l-mgJfCFzM,youtube,Bob Vous Dit Toute La Vérité,Dr Nicole Delépine sur BTLV - vendredi 30 janvier à 21H
5mGJczUp8rA,youtube,Scicos,Pyramide de Kheops = Balise EXTRATERRESTRE ?! — SCICOS
5oTI1fhJvMo,youtube,Scicos,OVNI du Lac Michigan !  — SCICOS
5RsS2LTKd2k,youtube,La vérité est ailleurs,[OVNI] L'incident de la base militaire de Loring (USA) - 1975
5SbnTf_nZDU,youtube,BTLV Le média complémentaire,"La mort, le début d'une autre vie ?"
5SNlBMuCjmQ,youtube,GillusZG,36 FILMS SURPRENANTS à découvrir en 2018 (BIFFF)
5sVrhnog-ZU,youtube,odezenne,Odezenne - Bébé - Audio Officiel
5tQwVv9rA78,youtube,Bob Vous Dit Toute La Vérité,[ET SI ON CHANGEAIT D'ART] Jean-Bernard Chappe - Peintre 'Jungien' sur BTLV-Radio
5ZsW4ZY21tQ,youtube,Très Curieux - YouCurious? French,7 Rencontres Folles D'OVNI Prouvant L'Existence D'Extraterrestres???
5zXMqmdHrKk,youtube,bySankah Officiel,COMMENT DEBLOQUER LA DANSE D'ARIANA GRANDE ! UTILISER UNE DALLE HOLOGRAPHIQUE EXTRATERRESTRE
